epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4502,1.99864,3.05466,1.498,0.09029,0.16451,0.07362,0.02909,2.11123,3.43138,1.44417,0.000540231,0.000540231,0.000540231
2,35.0668,1.96062,1.63853,1.38213,0.19121,0.3242,0.20556,0.08725,2.00734,2.96013,1.43553,0.00108505,0.00108505,0.00108505
3,78.6607,1.8729,1.31231,1.38581,0.51143,0.26831,0.28035,0.10521,2.16609,2.70363,1.51797,0.00161886,0.00161886,0.00161886
4,88.6363,1.80156,1.20575,1.36063,0.5732,0.30231,0.32837,0.13028,1.96855,inf,1.46293,0.00161749,0.00161749,0.00161749
5,101.082,1.80934,1.1613,1.35567,0.61059,0.3212,0.35203,0.15623,1.96547,2.7143,1.43445,0.00160099,0.00160099,0.00160099
6,111.002,1.77605,1.12919,1.35099,0.58796,0.31925,0.34196,0.1323,2.03454,2.57616,1.44702,0.00158448,0.00158448,0.00158448
7,120.97,1.74693,1.09621,1.33037,0.56221,0.31333,0.31785,0.1198,2.09287,2.57385,1.52188,0.00156798,0.00156798,0.00156798
8,130.97,1.7157,1.10221,1.31909,0.57404,0.27974,0.32787,0.12217,2.0137,2.70523,1.45157,0.00155148,0.00155148,0.00155148
9,155.129,1.64569,1.07186,1.29679,0.59347,0.32819,0.35711,0.16743,1.85313,2.61223,1.3547,0.00153497,0.00153497,0.00153497
10,165.228,1.6786,1.05765,1.30048,0.63412,0.30452,0.35472,0.15498,1.95886,2.65439,1.41582,0.00151847,0.00151847,0.00151847
11,174.992,1.65047,1.04808,1.30774,0.61698,0.31415,0.35245,0.14314,1.97059,2.59512,1.42369,0.00150197,0.00150197,0.00150197
12,202.776,1.68654,1.03477,1.28996,0.5941,0.31977,0.35991,0.1454,2.04118,2.63176,1.49367,0.00148546,0.00148546,0.00148546
13,215.802,1.67657,1.03718,1.29763,0.59873,0.31567,0.3553,0.15227,1.94186,2.43796,1.42654,0.00146896,0.00146896,0.00146896
14,225.873,1.63391,1.03078,1.30972,0.59506,0.31856,0.33927,0.13206,2.03264,2.63275,1.45427,0.00145246,0.00145246,0.00145246
15,236.041,1.65195,0.99343,1.28918,0.59807,0.30162,0.33905,0.15468,1.86562,2.63964,1.3571,0.00143595,0.00143595,0.00143595
16,256.164,1.56559,0.97612,1.25743,0.59446,0.30713,0.3305,0.1249,2.02806,2.7749,1.4232,0.00141945,0.00141945,0.00141945
17,266.517,1.58524,0.97375,1.27463,0.5812,0.29488,0.32964,0.11774,2.11186,2.77318,1.54159,0.00140295,0.00140295,0.00140295
18,276.484,1.6481,0.99864,1.31105,0.60437,0.32627,0.34347,0.14985,1.9156,2.73475,1.38822,0.00138644,0.00138644,0.00138644
